Name,Region,Variety,Ratings,Notes
Miolo Special Reserve Merlot 2020,Vale dos Vinhedos (RS),Merlot,88,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Aurora Special Reserve Muscat 2023,Pinto Bandeira (RS),Muscat,91,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Pizzato Special Reserve Merlot 2024,São Joaquim (SC),Merlot,92,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Guaspari Special Reserve Cabernet Sauvignon 2020,Serra da Mantiqueira (MG),Cabernet Sauvignon,93,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Cave Geisse Special Reserve Cabernet Franc 2021,Campos de Cima da Serra (RS),Cabernet Franc,94,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Luiz Argenta Special Reserve Tannat 2022,Planalto Catarinense (SC),Tannat,95,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Don Guerino Special Reserve Syrah 2023,Serra da Canastra (MG),Syrah,88,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Perini Special Reserve Chardonnay 2024,Jundiaí (SP),Chardonnay,89,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Garibaldi Special Reserve Sauvignon Blanc 2020,Vale dos Vinhedos (RS),Sauvignon Blanc,90,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Valmarino Special Reserve Pinot Noir 2021,Serra Gaúcha (RS),Pinot Noir,91,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Guatambu Special Reserve Blend 2022,Campanha Gaúcha (RS),Blend,92,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Lidio Carraro Special Reserve Sparkling Brut 2023,Pinto Bandeira (RS),Sparkling Brut,93,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Monte Agudo Special Reserve Sparkling Rosé 2024,São Joaquim (SC),Sparkling Rosé,94,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Casa Perini Special Reserve Muscat 2020,Serra da Mantiqueira (MG),Muscat,95,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Terragnolo Special Reserve Merlot 2021,Campos de Cima da Serra (RS),Merlot,88,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Zanotto Special Reserve Cabernet Sauvignon 2022,Planalto Catarinense (SC),Cabernet Sauvignon,89,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Campos de Cima Special Reserve Cabernet Franc 2023,Serra da Canastra (MG),Cabernet Franc,90,Award-winning Brazilian wine; strong regional typicity and balanced structure.
Villa Francioni Special Reserve Tannat 2024,Jundiaí (SP),Tannat,91,Award-winning Brazilian wine; strong regional typicity and balanced structure.
